
Image Name                     PID Session Name        Session#    Mem Usage
sihost.exe                    5288 Console                    1     48,292 K
svchost.exe                   5344 Console                    1     22,648 K
svchost.exe                   5444 Console                    1      7,352 K
wlanext.exe                   5572 Services                   0      8,544 K
svchost.exe                   5584 Console                    1     39,896 K
taskhostw.exe                 5720 Console                    1     17,244 K
svchost.exe                   5728 Services                   0     26,156 K
cncm.exe                      5760 Console                    1     84,264 K
explorer.exe                  5956 Console                    1    212,328 K
svchost.exe                   5980 Services                   0     20,768 K
ShellHost.exe                 5868 Console                    1     64,932 K
svchost.exe                   6300 Services                   0     21,752 K
svchost.exe                   6424 Services                   0     16,132 K
AggregatorHost.exe            6460 Services                   0     11,416 K
CrossDeviceResume.exe         6588 Console                    1     73,388 K
svchost.exe                   6924 Services                   0     26,232 K
svchost.exe                   7044 Services                   0     27,352 K
svchost.exe                   7088 Services                   0      8,700 K
svchost.exe                   6188 Services                   0     12,088 K
svchost.exe                   6100 Console                    1     21,076 K
svchost.exe                   3300 Services                   0     13,356 K
svchost.exe                   7180 Services                   0     11,664 K
StartMenuExperienceHost.e     7524 Console                    1    170,456 K
SearchHost.exe                7560 Console                    1    147,976 K
RuntimeBroker.exe             7736 Console                    1     44,964 K
svchost.exe                   7772 Console                    1     28,156 K
Widgets.exe                   7784 Console                    1     29,960 K
svchost.exe                   7948 Services                   0     32,564 K
svchost.exe                   8172 Services                   0      9,424 K
svchost.exe                   7388 Services                   0     12,104 K
msedgewebview2.exe            8404 Console                    1    120,756 K
msedgewebview2.exe            8660 Console                    1      8,940 K
svchost.exe                   8772 Services                   0     12,972 K
msedgewebview2.exe            9136 Console                    1     82,352 K
msedgewebview2.exe            9168 Console                    1     39,464 K
msedgewebview2.exe            8204 Console                    1     19,560 K
audiodg.exe                   8548 Services                   0     18,372 K
msedgewebview2.exe            7512 Console                    1     93,292 K
ctfmon.exe                    9572 Console                    1     27,748 K
svchost.exe                   9804 Services                   0     12,548 K
NgcIso.exe                    9840 Services                   0      4,480 K
NisSrv.exe                   10152 Services                   0     15,244 K
CrossDeviceService.exe        9316 Console                    1     89,196 K
RuntimeBroker.exe             4608 Console                    1     15,228 K
PhoneExperienceHost.exe       9764 Console                    1    155,524 K
MpgClient.exe                 2900 Console                    1      3,780 K
conhost.exe                   4320 Console                    1      4,400 K
VirtualControlPanel.exe      10048 Console                    1     56,196 K
DSATray.exe                  10296 Console                    1     94,012 K
SecurityHealthSystray.exe    10424 Console                    1     13,124 K
SecurityHealthService.exe    10444 Services                   0     31,736 K
RAVCpl64.exe                 10500 Console                    1     19,880 K
ms-teams.exe                 10636 Console                    1    105,324 K
AdobeCollabSync.exe          10740 Console                    1     21,220 K
AdobeCollabSync.exe          10788 Console                    1     46,288 K
RuntimeBroker.exe            11028 Console                    1     12,436 K
AppActions.exe               11124 Console                    1     48,344 K
msedgewebview2.exe           11152 Console                    1    128,280 K
msedgewebview2.exe           11208 Console                    1      9,576 K
msedgewebview2.exe            4932 Console                    1     65,328 K
msedgewebview2.exe            4808 Console                    1     38,736 K
msedgewebview2.exe           10632 Console                    1     19,664 K
msedgewebview2.exe           11272 Console                    1    246,504 K
M365Copilot.exe              11864 Console                    1    156,280 K
SearchIndexer.exe            11928 Services                   0     18,268 K
RuntimeBroker.exe            12024 Console                    1     15,252 K
msedgewebview2.exe            7164 Console                    1    116,212 K
msedgewebview2.exe            7800 Console                    1      9,592 K
msedgewebview2.exe            4032 Console                    1    173,884 K
msedgewebview2.exe           11720 Console                    1     38,176 K
msedgewebview2.exe           11780 Console                    1     19,592 K
msedgewebview2.exe            9516 Console                    1     99,236 K
svchost.exe                  12344 Services                   0     12,468 K
svchost.exe                  12388 Services                   0     17,632 K
IntelGraphicsSoftware.exe    12776 Console                    1    132,648 K
xTouchMon.exe                12888 Console                    1     16,148 K
taskhostw.exe                 6232 Console                    1      9,064 K
backgroundTaskHost.exe        2680 Console                    1     50,580 K
WUDFHost.exe                  2788 Services                   0     11,820 K
svchost.exe                   4380 Services                   0      8,680 K
ShellExperienceHost.exe      13268 Console                    1     95,440 K
RuntimeBroker.exe             5248 Console                    1     22,756 K
svchost.exe                   7208 Console                    1     15,968 K
svchost.exe                  13160 Services                   0     14,748 K
esrv_svc.exe                  1372 Services                   0    199,780 K
WmiPrvSE.exe                  5740 Services                   0     16,352 K
cmd.exe                       6776 Console                    1      4,792 K
conhost.exe                   9144 Console                    1      9,956 K
OpenConsole.exe              11184 Console                    1     14,524 K
WmiPrvSE.exe                 12688 Services                   0     12,044 K
svchost.exe                   3360 Services                   0      8,848 K
WmiApSrv.exe                  1780 Services                   0     11,708 K
WindowsTerminal.exe          12352 Console                    1    116,692 K
svchost.exe                  13300 Services                   0     10,120 K
sppsvc.exe                    9096 Services                   0     15,796 K
svchost.exe                  12724 Services                   0     13,200 K
svchost.exe                  12668 Services                   0     14,868 K
svchost.exe                  13144 Services                   0     25,528 K
MoUsoCoreWorker.exe           3292 Services                   0     25,852 K
svchost.exe                  10456 Services                   0     10,008 K
svchost.exe                   3976 Services                   0     29,092 K
svchost.exe                   1176 Services                   0     13,884 K
RuntimeBroker.exe            12412 Console                    1     10,372 K
tasklist.exe                  1924 Console                    1     11,700 K
