
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,340 K
Secure System                   92 Services                   0     60,748 K
Registry                       136 Services                   0     65,652 K
smss.exe                       564 Services                   0      1,532 K
csrss.exe                      832 Services                   0      6,172 K
wininit.exe                    920 Services                   0      8,744 K
csrss.exe                      928 Console                    1      7,076 K
winlogon.exe                  1020 Console                    1     15,616 K
services.exe                   644 Services                   0     19,360 K
LsaIso.exe                     532 Services                   0      4,296 K
lsass.exe                      664 Services                   0     29,684 K
svchost.exe                   1124 Services                   0     34,704 K
fontdrvhost.exe               1156 Console                    1      8,740 K
fontdrvhost.exe               1160 Services                   0      4,736 K
svchost.exe                   1252 Services                   0     17,340 K
svchost.exe                   1320 Services                   0     13,492 K
dwm.exe                       1376 Console                    1    156,536 K
svchost.exe                   1516 Services                   0      9,784 K
svchost.exe                   1524 Services                   0     19,216 K
svchost.exe                   1540 Services                   0      7,004 K
svchost.exe                   1564 Services                   0      8,064 K
svchost.exe                   1672 Services                   0     14,136 K
svchost.exe                   1692 Services                   0     11,872 K
svchost.exe                   1764 Services                   0      9,844 K
svchost.exe                   1772 Services                   0     17,168 K
svchost.exe                   1860 Services                   0     13,660 K
svchost.exe                   1868 Services                   0     11,020 K
svchost.exe                   1912 Services                   0      7,616 K
svchost.exe                   1944 Services                   0     10,016 K
svchost.exe                   2024 Services                   0     12,872 K
svchost.exe                   2032 Services                   0     22,536 K
svchost.exe                    668 Services                   0     11,220 K
svchost.exe                   2144 Services                   0     11,924 K
svchost.exe                   2160 Services                   0     26,620 K
svchost.exe                   2196 Services                   0     18,188 K
svchost.exe                   2200 Services                   0      7,668 K
svchost.exe                   2212 Services                   0     10,612 K
Memory Compression            2320 Services                   0          N/A
svchost.exe                   2388 Services                   0     11,500 K
svchost.exe                   2432 Services                   0      7,204 K
svchost.exe                   2456 Services                   0      9,224 K
svchost.exe                   2472 Services                   0     11,908 K
svchost.exe                   2604 Services                   0     18,740 K
IntelCpHDCPSvc.exe            2636 Services                   0      7,840 K
svchost.exe                   2644 Services                   0     10,744 K
svchost.exe                   2752 Services                   0     10,628 K
svchost.exe                   2768 Services                   0     35,588 K
svchost.exe                   2776 Services                   0      8,776 K
svchost.exe                   2864 Services                   0     10,136 K
svchost.exe                   2920 Services                   0     13,784 K
svchost.exe                   3028 Services                   0     24,344 K
svchost.exe                   3064 Services                   0     18,676 K
spoolsv.exe                   3092 Services                   0     20,844 K
svchost.exe                   3120 Services                   0     30,088 K
svchost.exe                   3168 Services                   0     10,328 K
svchost.exe                   3272 Services                   0      8,880 K
svchost.exe                   3280 Services                   0     55,060 K
svchost.exe                   3308 Services                   0     18,280 K
svchost.exe                   3348 Services                   0      8,928 K
svchost.exe                   3368 Services                   0     15,448 K
MpDefenderCoreService.exe     3412 Services                   0     24,500 K
armsvc.exe                    3488 Services                   0      8,208 K
svchost.exe                   3540 Services                   0      7,340 K
svchost.exe                   3556 Services                   0     25,712 K
svchost.exe                   3572 Services                   0     23,908 K
MsMpEng.exe                   3580 Services                   0    228,708 K
svchost.exe                   3588 Services                   0     12,136 K
DSAService.exe                3604 Services                   0    118,476 K
IntelGraphicsSoftware.Ser     3652 Services                   0     40,748 K
DSAUpdateService.exe          3800 Services                   0     22,108 K
dasHost.exe                   3980 Services                   0     13,692 K
SurSvc.exe                    4004 Services                   0     39,060 K
jhi_service.exe               3836 Services                   0      8,528 K
WMIRegistrationService.ex     4180 Services                   0     15,772 K
svchost.exe                   4332 Services                   0     10,392 K
svchost.exe                   4412 Services                   0     11,240 K
TeamViewer_Service.exe        4552 Services                   0     35,808 K
PresentMonService.exe         5036 Services                   0     15,920 K
conhost.exe                   5044 Services                   0      5,984 K
crashpad_handler.exe          4836 Services                   0      6,092 K
svchost.exe                   5020 Services                   0     20,852 K
svchost.exe                   3236 Services                   0     39,984 K
MSPCManagerService.exe        5172 Services                   0     83,280 K
svchost.exe                   5184 Services                   0      9,916 K
smartscreen.exe               5204 Console                    1     12,400 K
