;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
97 0.485000 -18.295467 -20.000000 -6.000000 0.000000 
98 0.490000 -18.295467 -18.000000 -8.000000 0.000000 
99 0.495000 -18.295467 -17.000000 -7.000000 0.000000 
100 0.500000 -18.295467 -19.000000 -6.000000 0.000000 
101 0.505000 -18.295467 -19.000000 -7.000000 0.000000 
102 0.510000 -18.295467 -18.000000 -8.000000 0.000000 
103 0.515000 -18.295467 -18.000000 -7.000000 0.000000 
104 0.520000 -18.295467 -20.000000 -6.000000 0.000000 
105 0.525000 -18.295467 -18.000000 -8.000000 0.000000 
106 0.530000 -18.295467 -17.000000 -8.000000 0.000000 
107 0.535000 -18.295467 -18.000000 -7.000000 0.000000 
108 0.540000 -18.295467 -20.000000 -6.000000 0.000000 
109 0.545000 -18.295467 -17.000000 -9.000000 0.000000 
110 0.550000 -18.295467 -17.000000 -8.000000 0.000000 
111 0.555000 -18.295467 -19.000000 -7.000000 0.000000 
112 0.560000 -18.295467 -19.000000 -7.000000 0.000000 
113 0.565000 -18.295467 -17.000000 -8.000000 0.000000 
114 0.570000 -18.295467 -18.000000 -8.000000 0.000000 
115 0.575000 -18.295467 -19.000000 -8.000000 0.000000 
116 0.580000 -18.295467 -18.000000 -8.000000 0.000000 
117 0.585000 -18.295467 -17.000000 -7.000000 0.000000 
118 0.590000 -18.295467 -19.000000 -7.000000 0.000000 
119 0.595000 -18.295467 -18.000000 -8.000000 0.000000 
120 0.600000 -18.295467 -17.000000 -8.000000 0.000000 
121 0.605000 -18.295467 -19.000000 -6.000000 0.000000 
122 0.610000 -18.295467 -19.000000 -6.000000 0.000000 
123 0.615000 -18.295467 -18.000000 -8.000000 0.000000 
124 0.620000 -18.295467 -17.000000 -8.000000 0.000000 
125 0.625000 -18.295467 -20.000000 -7.000000 0.000000 
126 0.630000 -18.295467 -19.000000 -8.000000 0.000000 
127 0.635000 -18.295467 -18.000000 -8.000000 0.000000 
128 0.640000 -18.295467 -17.000000 -7.000000 0.000000 
129 0.645000 -18.295467 -19.000000 -7.000000 0.000000 
130 0.650000 -18.295467 -18.000000 -8.000000 0.000000 
131 0.655000 -18.295467 -17.000000 -8.000000 0.000000 
132 0.660000 -18.295467 -19.000000 -6.000000 0.000000 
133 0.665000 -18.295467 -19.000000 -7.000000 0.000000 
134 0.670000 -18.295467 -17.000000 -9.000000 0.000000 
135 0.675000 -18.295467 -18.000000 -8.000000 0.000000 
136 0.680000 -18.295467 -20.000000 -6.000000 0.000000 
137 0.685000 -18.295467 -19.000000 -6.000000 0.000000 
138 0.690000 -18.295467 -17.000000 -7.000000 0.000000 
139 0.695000 -18.295467 -19.000000 -6.000000 0.000000 
140 0.700000 -18.295467 -20.000000 -7.000000 0.000000 
141 0.705000 -18.295467 -17.000000 -8.000000 0.000000 
142 0.710000 -18.295467 -18.000000 -6.000000 0.000000 
143 0.715000 -18.295467 -20.000000 -6.000000 0.000000 
144 0.720000 -18.295467 -18.000000 -8.000000 0.000000 
