
Image Name                     PID Session Name        Session#    Mem Usage
NisSrv.exe                   10208 Services                   0     14,904 K
RuntimeBroker.exe             8668 Console                    1     15,068 K
backgroundTaskHost.exe        8648 Console                    1     45,488 K
dllhost.exe                   7548 Services                   0     11,504 K
WmiPrvSE.exe                  4368 Services                   0     19,312 K
svchost.exe                   9908 Services                   0     12,632 K
NgcIso.exe                    9992 Services                   0      4,536 K
PhoneExperienceHost.exe       9884 Console                    1    161,008 K
svchost.exe                  10408 Services                   0     29,612 K
RuntimeBroker.exe            10556 Console                    1     10,272 K
svchost.exe                  10608 Services                   0     22,616 K
DSATray.exe                  10660 Console                    1     97,640 K
sppsvc.exe                   10768 Services                   0     16,000 K
MpgClient.exe                10896 Console                    1      5,532 K
conhost.exe                  10944 Console                    1      6,364 K
VirtualControlPanel.exe      10964 Console                    1    100,916 K
SecurityHealthSystray.exe    11132 Console                    1     13,176 K
SecurityHealthService.exe    11152 Services                   0     23,584 K
RAVCpl64.exe                 10280 Console                    1     20,944 K
ms-teams.exe                  2352 Console                    1    103,048 K
RuntimeBroker.exe            10720 Console                    1     12,568 K
AppActions.exe               10040 Console                    1     48,396 K
msedgewebview2.exe            4756 Console                    1    124,216 K
msedgewebview2.exe            9864 Console                    1      9,728 K
msedgewebview2.exe           11396 Console                    1     66,792 K
msedgewebview2.exe           11408 Console                    1     38,816 K
msedgewebview2.exe           11444 Console                    1     19,940 K
msedgewebview2.exe           11524 Console                    1    400,400 K
cmd.exe                      11980 Console                    1      4,796 K
conhost.exe                  11988 Console                    1     10,044 K
OpenConsole.exe              12020 Console                    1     14,568 K
WindowsTerminal.exe          12060 Console                    1    116,484 K
AdobeCollabSync.exe          12280 Console                    1     21,400 K
AdobeCollabSync.exe          11232 Console                    1     50,268 K
svchost.exe                  11860 Services                   0     12,648 K
BdeUISrv.exe                 11728 Console                    1     11,288 K
svchost.exe                   8572 Services                   0     13,504 K
tasklist.exe                 12192 Console                    1     11,660 K
CrossDeviceService.exe       12240 Console                    1     18,252 K
